Cliente;Producto;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic;Tot
60637 - VAQUERIA 1926-1995 S.L.;024000232000024 - VELTINS S/ALCOHOL RET. 24X33CL ;28.8;14.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.2
60637 - VAQUERIA 1926-1995 S.L.;027000104000001 - MAISEL WEISSE ORIGINAL 50CL BOT.50CL;0.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3
60637 - VAQUERIA 1926-1995 S.L.;027000104000020 - MAISEL WEISSE ORIG.HEFFE 50CL CAJA 20 X50;0.0;0.0;27.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.75
60637 - VAQUERIA 1926-1995 S.L.;027000106000020 - MAISELï¿½S WEISSE KRISTAL 50CL CAJA 20 x 50CL;0.0;0.0;0.0;27.75;29.6;29.6;0.0;0.0;0.0;0.0;0.0;0.0;86.95
60641 - JOSE MIGUEL LOPEZ GARCIA;024000030000001 - VELTINS PILS BARRIL 30 L. ;0.0;0.0;66.21;132.43;264.86;271.51;278.16;0.0;0.0;0.0;0.0;0.0;1013.17
60641 - JOSE MIGUEL LOPEZ GARCIA;024000118000024 - VELTINS PILS 6x4x33 CL ;0.0;0.0;18.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.4
60641 - JOSE MIGUEL LOPEZ GARCIA;024000124000024 - VELTINS SIN ALCOHOL 0.0% 24X33CL ;0.0;0.0;0.0;65.92;49.44;52.32;69.76;0.0;0.0;0.0;0.0;0.0;237.44
60641 - JOSE MIGUEL LOPEZ GARCIA;024000210000016 - GREVENSTEINER ORIGINAL 16X50CL ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.25;0.0;0.0;0.0;0.0;21.25
60641 - JOSE MIGUEL LOPEZ GARCIA;024000232000024 - VELTINS S/ALCOHOL RET. 24X33CL ;43.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.2
60641 - JOSE MIGUEL LOPEZ GARCIA;024000880000024 - VELTINS RADLER RET. 24X33CL ;52.8;0.0;0.0;0.0;0.0;0.0;44.54;0.0;0.0;0.0;0.0;0.0;97.34
